country_name,averageRating,numVotes
Argentina,7.3,73667.63636363637
Australia,6.735294117647059,51170.882352941175
Austria,6.72,56523.13333333333
Belgium,7.1466666666666665,92616.13333333333
Bolivia,7.2272727272727275,73955.27272727272
Brazil,6.858333333333333,60636.083333333336
Bulgaria,6.7,57580.92857142857
Canada,6.785714285714286,74551.78571428571
Chile,7.414285714285714,58820.21428571428
Colombia,6.583333333333333,60612.583333333336
Costa Rica,7.184615384615385,62899.07692307692
Croatia,6.425,66751.5
Denmark,7.053333333333333,66363.6
Ecuador,7.2,61353.666666666664
Estonia,6.9,123766.38461538461
Finland,7.1000000000000005,62914.78571428572
France,6.8933333333333335,59459.26666666667
Germany,6.6875,53182.3125
Greece,6.871428571428572,68420.35714285714
Guatemala,7.338461538461539,56044.230769230766
Honduras,7.164285714285714,52055.5
Hong Kong,6.946666666666667,90714.86666666667
Hungary,6.95,63316.5
Iceland,7.3625,97827.9375
India,7.19375,68895.25
Indonesia,7.152941176470588,56026.470588235294
Ireland,6.84,30790.2
Israel,7.48,95393.33333333333
Italy,6.914285714285714,65801.28571428571
Japan,7.188235294117647,36085.529411764706
Latvia,7.136363636363637,74727.36363636363
Lithuania,6.763636363636365,74808.45454545454
Malaysia,7.076470588235294,51256.117647058825
Mexico,7.266666666666667,66604.5
Netherlands,7.085714285714286,63129.5
New Zealand,6.785714285714286,57262.857142857145
Norway,7.075,62721.6875
Paraguay,7.484615384615385,69267.84615384616
Peru,7.457142857142857,58560.142857142855
Philippines,7.25,80014.25
Poland,6.8533333333333335,54293.333333333336
Portugal,6.5600000000000005,53837.53333333333
Romania,7.125,60284.375
Russia,7.0249999999999995,141837.16666666666
Singapore,7.26,56094.8
Slovakia,7.0,104470.75
South Africa,6.892857142857143,57187.642857142855
South Korea,7.0,50869.53333333333
Spain,7.028571428571429,62493.71428571428
Sweden,7.192857142857143,60329.42857142857
Switzerland,6.4071428571428575,61037.142857142855
Taiwan,6.81875,90365.6875
Thailand,7.228571428571429,93187.5
Turkey,6.761538461538462,61264.46153846154
Ukraine,6.7846153846153845,97803.61538461539
United Kingdom,6.99375,64393.5
United States,7.2,95195.5625
Uruguay,7.076923076923077,62466.46153846154
Venezuela,6.771428571428571,58351.5
